elapsed_time,sender,receiver,length
52.72456359863281,172.19.0.9,172.19.0.7,70
52.72524738311768,172.19.0.7,172.19.0.9,66
52.72603440284729,172.19.0.9,172.19.0.7,66
52.72674965858459,172.19.0.7,172.19.0.9,66
52.72747039794922,172.19.0.7,172.19.0.9,66
52.728246450424194,172.19.0.9,172.19.0.7,66
52.728944301605225,172.19.0.7,172.19.0.9,66
52.72983574867249,172.19.0.8,172.19.0.3,818
52.73061013221741,172.19.0.3,172.19.0.8,70
52.73132753372192,172.19.0.8,172.19.0.3,66
52.73222589492798,172.19.0.3,172.19.0.8,846
52.73294544219971,172.19.0.8,172.19.0.3,66
52.94842839241028,172.19.0.1,172.19.0.4,3474
52.94918656349182,172.19.0.4,172.19.0.1,66
52.95084953308105,172.19.0.4,172.19.0.7,3474
52.95158219337464,172.19.0.7,172.19.0.4,66
52.95234298706055,172.19.0.7,172.19.0.9,74
52.95319652557373,172.19.0.9,172.19.0.7,74
52.95392203330994,172.19.0.7,172.19.0.9,66
52.95465421676636,172.19.0.7,172.19.0.9,282
52.95536684989929,172.19.0.9,172.19.0.7,66
52.96246743202209,172.19.0.7,172.19.0.9,3564
52.96325969696045,172.19.0.9,172.19.0.7,66
52.964012145996094,172.19.0.9,172.19.0.2,74
52.96476602554321,172.19.0.2,172.19.0.9,74
52.9655282497406,172.19.0.9,172.19.0.2,66
52.966354846954346,172.19.0.9,172.19.0.2,224
52.96705150604248,172.19.0.2,172.19.0.9,66
52.97077536582947,172.19.0.2,172.19.0.9,2009
52.97154211997986,172.19.0.9,172.19.0.2,66
52.97227668762207,172.19.0.9,172.19.0.2,66
52.97301697731018,172.19.0.2,172.19.0.9,66
52.97375774383545,172.19.0.9,172.19.0.2,66
52.974509716033936,172.19.0.9,172.17.0.1,74
52.97526884078979,172.17.0.1,172.19.0.9,74
52.97598361968994,172.19.0.9,172.17.0.1,66
52.97677278518677,172.19.0.9,172.17.0.1,289
52.977484703063965,172.17.0.1,172.19.0.9,66
52.98445153236389,172.19.0.9,172.17.0.1,3564
52.9852192401886,172.17.0.1,172.19.0.9,66
53.20180630683899,172.19.0.3,172.19.0.8,71
53.20595049858093,172.19.0.8,172.19.0.3,279
53.209500789642334,172.19.0.3,172.19.0.8,66
53.21293950080872,172.19.0.1,172.19.0.9,74
53.21574807167053,172.19.0.9,172.19.0.1,74
53.217609167099,172.19.0.1,172.19.0.9,66
53.21915102005005,172.19.0.1,172.19.0.9,306
53.22044610977173,172.19.0.9,172.19.0.1,66
53.22245955467224,172.19.0.1,172.19.0.9,347
53.22334718704224,172.19.0.9,172.19.0.1,66
53.22411775588989,172.19.0.9,172.19.0.2,74
53.2248706817627,172.19.0.2,172.19.0.9,74
53.22555303573608,172.19.0.9,172.19.0.2,66
53.226439237594604,172.19.0.9,172.19.0.2,224
53.22715449333191,172.19.0.2,172.19.0.9,66
53.23099088668823,172.19.0.2,172.19.0.9,2009
53.23179793357849,172.19.0.9,172.19.0.2,66
53.23253226280213,172.19.0.9,172.19.0.2,66
53.23326110839844,172.19.0.2,172.19.0.9,66
53.23401427268982,172.19.0.9,172.19.0.2,66
53.23477196693421,172.19.0.9,172.19.0.7,74
53.23552584648132,172.19.0.7,172.19.0.9,74
53.23622989654541,172.19.0.9,172.19.0.7,66
53.23701477050781,172.19.0.9,172.19.0.7,310
53.23772573471069,172.19.0.7,172.19.0.9,66
53.23916077613831,172.19.0.9,172.19.0.7,318
53.239891052246094,172.19.0.7,172.19.0.9,66
53.24087524414062,172.19.0.7,172.19.0.9,320
53.2416136264801,172.19.0.9,172.19.0.7,66
53.24250841140747,172.19.0.7,172.19.0.4,264
53.24334168434143,172.19.0.4,172.19.0.1,264
53.24406051635742,172.19.0.1,172.19.0.4,66
53.24487638473511,172.19.0.4,172.19.0.7,70
53.24558424949646,172.19.0.7,172.19.0.4,66
53.24629878997803,172.19.0.9,172.19.0.7,66
53.24712347984314,172.19.0.7,172.19.0.9,66
53.24783754348755,172.19.0.9,172.19.0.7,66
53.24856638908386,172.19.0.9,172.19.0.1,197
53.24929594993591,172.19.0.1,172.19.0.9,66
53.25032496452331,172.19.0.9,172.19.0.1,137
53.25102877616882,172.19.0.1,172.19.0.9,66
53.25193810462952,172.19.0.1,172.19.0.4,268
53.25279712677002,172.19.0.4,172.19.0.7,262
53.25349950790405,172.19.0.7,172.19.0.4,66
53.25424408912659,172.19.0.4,172.19.0.1,70
53.25503945350647,172.19.0.1,172.19.0.9,66
53.25578284263611,172.19.0.9,172.19.0.1,66
53.25647139549256,172.19.0.1,172.19.0.9,66
53.25723338127136,172.19.0.7,172.19.0.9,74
53.25802969932556,172.19.0.9,172.19.0.7,74
53.25872611999512,172.19.0.7,172.19.0.9,66
53.25947499275208,172.19.0.7,172.19.0.9,297
53.260236024856574,172.19.0.9,172.19.0.7,66
53.26154398918152,172.19.0.7,172.19.0.9,312
53.26227521896362,172.19.0.9,172.19.0.7,66
53.26306176185608,172.19.0.9,172.17.0.1,74
53.26384019851685,172.17.0.1,172.19.0.9,74
53.26454925537109,172.19.0.9,172.17.0.1,66
53.26536107063294,172.19.0.9,172.17.0.1,304
53.26606750488281,172.17.0.1,172.19.0.9,66
53.26740503311157,172.19.0.9,172.17.0.1,312
53.26814341545105,172.17.0.1,172.19.0.9,66
53.26884818077088,172.19.0.1,172.19.0.4,66
53.26959228515625,172.17.0.1,172.19.0.9,195
53.270334243774414,172.19.0.9,172.17.0.1,66
53.27126121520996,172.17.0.1,172.19.0.9,70
53.271968841552734,172.19.0.9,172.17.0.1,66
53.27269697189331,172.17.0.1,172.19.0.9,195
53.27344155311585,172.19.0.9,172.17.0.1,66
53.27436208724976,172.17.0.1,172.19.0.9,70
53.27511525154114,172.19.0.9,172.17.0.1,66
53.27593064308166,172.19.0.9,172.17.0.1,66
53.27668476104736,172.17.0.1,172.19.0.9,66
53.27738380432129,172.19.0.9,172.17.0.1,66
53.27816367149353,172.19.0.9,172.19.0.7,195
53.27886605262756,172.19.0.7,172.19.0.9,66
53.2797532081604,172.19.0.9,172.19.0.7,70
53.2805163860321,172.19.0.7,172.19.0.9,66
53.2813401222229,172.19.0.9,172.17.0.1,66
53.282084465026855,172.19.0.7,172.19.0.9,66
53.282829999923706,172.17.0.1,172.19.0.9,66
53.28359270095825,172.19.0.9,172.17.0.1,66
53.28431844711304,172.19.0.9,172.19.0.7,195
53.28501963615417,172.19.0.7,172.19.0.9,66
53.286012411117554,172.19.0.9,172.19.0.7,70
53.28674244880676,172.19.0.7,172.19.0.9,66
53.28749203681946,172.19.0.9,172.19.0.7,66
53.28820705413818,172.19.0.7,172.19.0.9,66
53.28893756866455,172.19.0.7,172.19.0.9,66
53.28971219062805,172.19.0.9,172.19.0.7,66
53.29039525985718,172.19.0.7,172.19.0.9,66
53.71762037277222,172.19.0.1,172.19.0.4,3536
53.721543312072754,172.19.0.4,172.19.0.1,66
53.72743844985962,172.19.0.4,172.19.0.7,3536
53.729172706604,172.19.0.7,172.19.0.4,66
53.73059630393982,172.19.0.7,172.19.0.9,74
53.73180508613586,172.19.0.9,172.19.0.7,74
53.73285984992981,172.19.0.7,172.19.0.9,66
53.73376178741455,172.19.0.7,172.19.0.9,282
53.73447966575623,172.19.0.9,172.19.0.7,66
53.74168705940247,172.19.0.7,172.19.0.9,3626
53.742504835128784,172.19.0.9,172.19.0.7,66
53.74326944351196,172.19.0.9,172.19.0.2,74
53.744038343429565,172.19.0.2,172.19.0.9,74
53.74482727050781,172.19.0.9,172.19.0.2,66
53.74567198753357,172.19.0.9,172.19.0.2,224
53.74637246131897,172.19.0.2,172.19.0.9,66
53.75017142295837,172.19.0.2,172.19.0.9,2009
53.75097036361694,172.19.0.9,172.19.0.2,66
53.75171780586243,172.19.0.9,172.19.0.2,66
53.75247645378113,172.19.0.2,172.19.0.9,66
53.75321340560913,172.19.0.9,172.19.0.2,66
53.75398206710816,172.19.0.9,172.17.0.1,74
53.75474762916565,172.17.0.1,172.19.0.9,74
53.75548028945923,172.19.0.9,172.17.0.1,66
53.75626873970032,172.19.0.9,172.17.0.1,289
53.75700807571411,172.17.0.1,172.19.0.9,66
53.76410436630249,172.19.0.9,172.17.0.1,3626
