Timestamp(ms),Current(uA),D0-D7
9736.6,12688.452,00000000
9736.7,12727.414,00000000
9736.8,12758.855,00000000
9736.9,12779.563,00000000
9737,12820.764,00000000
9737.1,12786.213,00000000
9737.2,12757.969,00000000
9737.3,12805.150,00000000
9737.4,12795.162,00000000
9737.5,12756.988,00000000
9737.6,12757.396,00000000
9737.7,12769.241,00000000
9737.8,12724.061,00000000
9737.9,12744.693,00000000
9738,12763.822,00000000
9738.1,12764.268,00000000
9738.2,12768.807,00000000
9738.3,12766.311,00000000
9738.4,12784.235,00000000
9738.5,12787.299,00000000
9738.6,12758.952,00000000
9738.7,12767.685,00000000
9738.8,12784.759,00000000
9738.9,12763.499,00000000
9739,12743.305,00000000
9739.1,12755.985,00000000
9739.2,12723.339,00000000
9739.3,12766.453,00000000
9739.4,12751.278,00000000
9739.5,12744.034,00000000
9739.6,12764.193,00000000
9739.7,12752.069,00000000
9739.8,12722.041,00000000
9739.9,12731.350,00000000
9740,12766.568,00000000
9740.1,12795.118,00000000
9740.2,12821.227,00000000
9740.3,12739.159,00000000
9740.4,12754.106,00000000
9740.5,12768.819,00000000
9740.6,12760.877,00000000
9740.7,12775.597,00000000
9740.8,12756.994,00000000
9740.9,12805.218,00000000
9741,12768.036,00000000
9741.1,12776.672,00000000
9741.2,12766.153,00000000
9741.3,12760.834,00000000
9741.4,12763.729,00000000
9741.5,12778.951,00000000
9741.6,12758.893,00000000
9741.7,12789.994,00000000
9741.8,12722.478,00000000
9741.9,12770.583,00000000
9742,12740.484,00000000
9742.1,12741.638,00000000
9742.2,12760.613,00000000
9742.3,12718.234,00000000
9742.4,12726.919,00000000
9742.5,12749.709,00000000
9742.6,12779.615,00000000
9742.7,12798.760,00000000
9742.8,12781.102,00000000
9742.9,12763.729,00000000
9743,12754.234,00000000
9743.1,12733.080,00000000
9743.2,12754.905,00000000
9743.3,12779.598,00000000
9743.4,12769.028,00000000
9743.5,12750.959,00000000
9743.6,12792.659,00000000
9743.7,12728.112,00000000
9743.8,12792.412,00000000
9743.9,12770.148,00000000
9744,12783.969,00000000
9744.1,12776.798,00000000
9744.2,12790.884,00000000
9744.3,12814.895,00000000
9744.4,12778.349,00000000
9744.5,12701.204,00000000
9744.6,12725.626,00000000
9744.7,12727.500,00000000
9744.8,12746.320,00000000
9744.9,12783.223,00000000
9745,12755.285,00000000
9745.1,12728.747,00000000
9745.2,12754.527,00000000
9745.3,12816.831,00000000
9745.4,12782.866,00000000
9745.5,12731.983,00000000
9745.6,12763.730,00000000
9745.7,12732.068,00000000
9745.8,12705.485,00000000
9745.9,12741.485,00000000
9746,12745.274,00000000
9746.1,12734.832,00000000
9746.2,12798.941,00000000
9746.3,12730.592,00000000
9746.4,12743.801,00000000
9746.5,12761.957,00000000
9746.6,12750.414,00000000
9746.7,12749.100,00000000
9746.8,12787.272,00000000
9746.9,12756.057,00000000
9747,12736.273,00000000
9747.1,12716.105,00000000
9747.2,12751.819,00000000
9747.3,12727.375,00000000
9747.4,12727.222,00000000
9747.5,12775.497,00000000
9747.6,12763.681,00000000
9747.7,12753.011,00000000
9747.8,12749.110,00000000
9747.9,12776.791,00000000
9748,12763.301,00000000
9748.1,12769.854,00000000
9748.2,12773.390,00000000
9748.3,12732.022,00000000
9748.4,12770.464,00000000
9748.5,12750.965,00000000
9748.6,12764.461,00000000
9748.7,12749.790,00000000
9748.8,12705.249,00000000
9748.9,12738.451,00000000
9749,12790.779,00000000
9749.1,12759.239,00000000
9749.2,12728.760,00000000
9749.3,12761.666,00000000
9749.4,12776.462,00000000
9749.5,12763.163,00000000
9749.6,12731.766,00000000
9749.7,12775.935,00000000
9749.8,12747.722,00000000
9749.9,12728.929,00000000
9750,12793.181,00000000
9750.1,12754.712,00000000
9750.2,12803.805,00000000
9750.3,12749.312,00000000
9750.4,12772.734,00000000
9750.5,12754.991,00000000
9750.6,12780.860,00000000
9750.7,12770.975,00000000
9750.8,12755.551,00000000
9750.9,12739.083,00000000
9751,12755.373,00000000
9751.1,12752.836,00000000
9751.2,12788.370,00000000
9751.3,12726.685,00000000
9751.4,12748.557,00000000
9751.5,12771.334,00000000
9751.6,12756.195,00000000
9751.7,12722.176,00000000
9751.8,12742.300,00000000
9751.9,12751.816,00000000
9752,12727.262,00000000
9752.1,12725.766,00000000
9752.2,12743.486,00000000
9752.3,12783.519,00000000
9752.4,12757.425,00000000
9752.5,12757.685,00000000
9752.6,12711.778,00000000
9752.7,12766.070,00000000
9752.8,12744.192,00000000
9752.9,12746.812,00000000
9753,12753.936,00000000
9753.1,12768.771,00000000
9753.2,12714.865,00000000
9753.3,12793.428,00000000
9753.4,12757.009,00000000
9753.5,12756.813,00000000
9753.6,12758.639,00000000
9753.7,12768.887,00000000
9753.8,12773.101,00000000
9753.9,12779.098,00000000
9754,12807.817,00000000
9754.1,12796.013,00000000
9754.2,12752.683,00000000
9754.3,12758.299,00000000
9754.4,12760.880,00000000
9754.5,12743.647,00000000
9754.6,12724.630,00000000
9754.7,12764.211,00000000
9754.8,12776.096,00000000
9754.9,12735.918,00000000
9755,12768.292,00000000
9755.1,12710.063,00000000
9755.2,12759.644,00000000
9755.3,12774.692,00000000
9755.4,12739.960,00000000
9755.5,12727.988,00000000
9755.6,12743.088,00000000
9755.7,12757.373,00000000
9755.8,12735.653,00000000
9755.9,12719.741,00000000
9756,12737.806,00000000
9756.1,12756.768,00000000
9756.2,12750.256,00000000
9756.3,12744.754,00000000
9756.4,12785.434,00000000
9756.5,12785.537,00000000
9756.6,12757.734,00000000
9756.7,12753.777,00000000
9756.8,12788.574,00000000
9756.9,12791.439,00000000
9757,12738.895,00000000
9757.1,12726.913,00000000
9757.2,12769.791,00000000
9757.3,12760.409,00000000
9757.4,12747.670,00000000
9757.5,12766.765,00000000
9757.6,12744.486,00000000
9757.7,12785.990,00000000
9757.8,12770.354,00000000
9757.9,12758.150,00000000
9758,12792.188,00000000
9758.1,12740.529,00000000
9758.2,12789.561,00000000
9758.3,12755.398,00000000
9758.4,12733.860,00000000
9758.5,12747.839,00000000
9758.6,12770.839,00000000
9758.7,12785.628,00000000
9758.8,12778.533,00000000
9758.9,12742.095,00000000
9759,12784.957,00000000
9759.1,12764.342,00000000
9759.2,12733.983,00000000
9759.3,12793.960,00000000
9759.4,12782.999,00000000
9759.5,12771.089,00000000
9759.6,12764.968,00000000
9759.7,12733.344,00000000
9759.8,12727.727,00000000
9759.9,12750.827,00000000
9760,12783.275,00000000
9760.1,12755.787,00000000
9760.2,12772.766,00000000
9760.3,12759.913,00000000
9760.4,12757.760,00000000
9760.5,12791.627,00000000
9760.6,12755.377,00000000
9760.7,12744.115,00000000
9760.8,12748.047,00000000
9760.9,12745.719,00000000
9761,12726.590,00000000
9761.1,12775.773,00000000
9761.2,12803.205,00000000
9761.3,12766.311,00000000
9761.4,12757.076,00000000
9761.5,12722.711,00000000
9761.6,12735.285,00000000
9761.7,12755.785,00000000
9761.8,12760.820,00000000
9761.9,12754.669,00000000
9762,12779.462,00000000
9762.1,12758.521,00000000
9762.2,12741.505,00000000
9762.3,12764.799,00000000
9762.4,12734.715,00000000
9762.5,12786.165,00000000
9762.6,12759.113,00000000
9762.7,12781.696,00000000
9762.8,12755.813,00000000
9762.9,12808.778,00000000
9763,12814.227,00000000
9763.1,12801.716,00000000
9763.2,12767.155,00000000
9763.3,12801.797,00000000
9763.4,12799.965,00000000
9763.5,12775.221,00000000
9763.6,12788.136,00000000
9763.7,12809.444,00000000
9763.8,12778.049,00000000
9763.9,12749.238,00000000
9764,12783.382,00000000
9764.1,12759.972,00000000
9764.2,12778.318,00000000
9764.3,12769.543,00000000
9764.4,12783.731,00000000
9764.5,12762.413,00000000
9764.6,12783.005,00000000
9764.7,12737.854,00000000
9764.8,12792.552,00000000
9764.9,12728.480,00000000
9765,12765.796,00000000
9765.1,12818.929,00000000
9765.2,12797.598,00000000
9765.3,12763.338,00000000
9765.4,12735.914,00000000
9765.5,12771.012,00000000
9765.6,12758.101,00000000
9765.7,12739.256,00000000
9765.8,12754.799,00000000
9765.9,12795.416,00000000
9766,12752.477,00000000
9766.1,12788.390,00000000
9766.2,12772.356,00000000
9766.3,12802.926,00000000
9766.4,12774.911,00000000
9766.5,12763.713,00000000
9766.6,12776.663,00000000
9766.7,12782.188,00000000
9766.8,12790.651,00000000
9766.9,12835.344,00000000
9767,12805.612,00000000
9767.1,12757.461,00000000
9767.2,12763.844,00000000
9767.3,12740.361,00000000
9767.4,12763.373,00000000
9767.5,12761.594,00000000
9767.6,12760.090,00000000
9767.7,12768.328,00000000
9767.8,12755.870,00000000
9767.9,12768.031,00000000
9768,12811.688,00000000
9768.1,12817.228,00000000
9768.2,12807.788,00000000
9768.3,12790.759,00000000
9768.4,12779.788,00000000
9768.5,12790.001,00000000
9768.6,12805.105,00000000
9768.7,12770.882,00000000
9768.8,12750.606,00000000
9768.9,12799.336,00000000
9769,12815.225,00000000
9769.1,12784.058,00000000
9769.2,12791.313,00000000
9769.3,12778.446,00000000
9769.4,12705.721,00000000
9769.5,12743.497,00000000
9769.6,12738.734,00000000
9769.7,12768.464,00000000
9769.8,12748.406,00000000
9769.9,12810.339,00000000
9770,12740.665,00000000
9770.1,12744.504,00000000
9770.2,12771.131,00000000
9770.3,12765.018,00000000
9770.4,12734.638,00000000
9770.5,12708.459,00000000
9770.6,12730.439,00000000
9770.7,12716.588,00000000
9770.8,12746.488,00000000
9770.9,12750.051,00000000
9771,12751.579,00000000
9771.1,12777.853,00000000
9771.2,12776.688,00000000
9771.3,12775.852,00000000
9771.4,12779.971,00000000
9771.5,12722.946,00000000
9771.6,12770.858,00000000
9771.7,12730.003,00000000
9771.8,12794.276,00000000
9771.9,12757.684,00000000
9772,12756.736,00000000
9772.1,12748.447,00000000
9772.2,12788.624,00000000
9772.3,12747.951,00000000
9772.4,12770.729,00000000
9772.5,12747.628,00000000
9772.6,12763.854,00000000
9772.7,12714.463,00000000
9772.8,12758.145,00000000
9772.9,12801.975,00000000
9773,12812.201,00000000
9773.1,12808.661,00000000
9773.2,12758.649,00000000
9773.3,12765.288,00000000
9773.4,12718.555,00000000
9773.5,12768.653,00000000
9773.6,12777.933,00000000
9773.7,12724.139,00000000
9773.8,12740.868,00000000
9773.9,12756.028,00000000
9774,12777.299,00000000
9774.1,12750.582,00000000
9774.2,12822.251,00000000
9774.3,12807.018,00000000
9774.4,12792.238,00000000
9774.5,12796.093,00000000
9774.6,12769.702,00000000
9774.7,12741.616,00000000
9774.8,12748.659,00000000
9774.9,12766.967,00000000
9775,12735.288,00000000
9775.1,12747.234,00000000
9775.2,12800.259,00000000
9775.3,12737.149,00000000
9775.4,12714.100,00000000
9775.5,12813.998,00000000
9775.6,12767.021,00000000
9775.7,12738.354,00000000
9775.8,12777.149,00000000
9775.9,12770.250,00000000
9776,12751.693,00000000
9776.1,12810.587,00000000
9776.2,12779.483,00000000
9776.3,12795.190,00000000
9776.4,12763.646,00000000
9776.5,12741.356,00000000
9776.6,12739.698,00000000
9776.7,12784.430,00000000
9776.8,12798.622,00000000
9776.9,12705.075,00000000
9777,12720.062,00000000
9777.1,12757.560,00000000
9777.2,12767.188,00000000
