Timestamp(ms),Current(uA),D0-D7
38981.7,43213.148,00000000
38981.8,43230.082,00000000
38981.9,43220.820,00000000
38982,43258.527,00000000
38982.1,43231.066,00000000
38982.2,43278.375,00000000
38982.3,43292.805,00000000
38982.4,43245.020,00000000
38982.5,43290.117,00000000
38982.6,43256.527,00000000
38982.7,43219.121,00000000
38982.8,43292.113,00000000
38982.9,43245.180,00000000
38983,43239.141,00000000
38983.1,43213.168,00000000
38983.2,43241.492,00000000
38983.3,43291.195,00000000
38983.4,43171.887,00000000
38983.5,43193.008,00000000
38983.6,43202.488,00000000
38983.7,43151.738,00000000
38983.8,45068.234,00000000
38983.9,43724.965,00000000
38984,43414.363,00000000
38984.1,43270.793,00000000
38984.2,43242.195,00000000
38984.3,43234.535,00000000
38984.4,43236.125,00000000
38984.5,43237.582,00000000
38984.6,43224.707,00000000
38984.7,43172.598,00000000
38984.8,43160.105,00000000
38984.9,43257.875,00000000
38985,43210.285,00000000
38985.1,43222.969,00000000
38985.2,43223.469,00000000
38985.3,43211.492,00000000
38985.4,43225.883,00000000
38985.5,43199.484,00000000
38985.6,43210.430,00000000
38985.7,43217.918,00000000
38985.8,43175.902,00000000
38985.9,43176.098,00000000
38986,43249.703,00000000
38986.1,43197.453,00000000
38986.2,43202.645,00000000
38986.3,43221.824,00000000
38986.4,43203.574,00000000
38986.5,43184.355,00000000
38986.6,43242.168,00000000
38986.7,43220.531,00000000
38986.8,43233.551,00000000
38986.9,43255.406,00000000
38987,43275.773,00000000
38987.1,43251.219,00000000
38987.2,43238.898,00000000
38987.3,43253.488,00000000
38987.4,43191.063,00000000
38987.5,43291.098,00000000
38987.6,43298.453,00000000
38987.7,43205.391,00000000
38987.8,43243.094,00000000
38987.9,43268.344,00000000
38988,43197.406,00000000
38988.1,43221.109,00000000
38988.2,43254.363,00000000
38988.3,43276.512,00000000
38988.4,43255.348,00000000
38988.5,43278.012,00000000
38988.6,43322.766,00000000
38988.7,43327.617,00000000
38988.8,43358.984,00000000
38988.9,43276.043,00000000
38989,43338.879,00000000
38989.1,43327.941,00000000
38989.2,43351.121,00000000
38989.3,43355.738,00000000
38989.4,45054.574,00000000
38989.5,44018.207,00000000
38989.6,43678.871,00000000
38989.7,43474.809,00000000
38989.8,43508.910,00000000
38989.9,43451.203,00000000
38990,43463.195,00000000
38990.1,43517.359,00000000
38990.2,43542.043,00000000
